Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
72,Seed Dealers,Kanpur City,Kalyanpur,PANDIT BEEJ BHANDAR,,RAWATPUR KANPUR BLOCK KALYANPUR,For Free Alerts
73,Seed Dealers,Kanpur City,Kalyanpur,PANKAJ SEEDS,,75/232 SABJI MANDI KANPUR BLOCK KALYANPUR,For Free Alerts
74,Seed Dealers,Kanpur City,Kalyanpur,PARAS AGRI SEEDS,,SABJI MANDI KANPUR BLOCK KALYANPUR,For Free Alerts
75,Seed Dealers,Kanpur City,Kalyanpur,PARIHAR TRADING COMPANY,,73/213 SABJI MANDI KANPUR BLOCK KALYANPUR,For Free Alerts
76,Seed Dealers,Kanpur City,Kalyanpur,PARKHAR AGRI GENTICS SEED,,VINAYAK PUR KANPUR BLOCK KALYANPUR,For Free Alerts
77,Seed Dealers,Kanpur City,Kalyanpur,PRAMOD SEEDS CORPORATION,,BHAUTI KANPUR BLOCK KALYANPUR,For Free Alerts
78,Seed Dealers,Kanpur City,Kalyanpur,PROGRESIV SEEDS,,HALSI ROAD KANPUR BLOCK KALYANPUR,For Free Alerts
79,Seed Dealers,Kanpur City,Kalyanpur,PURWAR PESTICIDE,,81/59 DHANN KUTTI KANPUR NAGAR BLOCK KALYANPUR,For Free Alerts
80,Seed Dealers,Kanpur City,Kalyanpur,PURWAR SEED COMPANY,,DHANKUTTI KANPUR BLOCK KALYANPUR,For Free Alerts
81,Seed Dealers,Kanpur City,Kalyanpur,R K TRADERS,,KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
82,Seed Dealers,Kanpur City,Kalyanpur,RADHEY BEEJ BHANDAR,,BITHOOR KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
83,Seed Dealers,Kanpur City,Kalyanpur,RAHUL KHAD BHANDAR,,SINGHPUR KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
84,Seed Dealers,Kanpur City,Kalyanpur,RAJENDRA KUMAR AND CO,,HALSI ROAD KANPUR BLOCK KALYANPUR,For Free Alerts
85,Seed Dealers,Kanpur City,Kalyanpur,RAM AUTAR SINGH AND SONS,,32 BADA LAKHANPUR KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
86,Seed Dealers,Kanpur City,Kalyanpur,RAM KRISHNA BEEJ BHANDAR,,BARADEVI KANPUR BLOCK KALYANPUR,For Free Alerts
87,Seed Dealers,Kanpur City,Kalyanpur,RANA JI BIOTECH INDIA LTD,,VINOBA NAGAR KANPUR BLOCK KALYANPUR,For Free Alerts
88,Seed Dealers,Kanpur City,Kalyanpur,RASHI TRADERS,,75/232 SABJI MANDI KANPUR BLOCK KALYANPUR,For Free Alerts
89,Seed Dealers,Kanpur City,Kalyanpur,RIYA AGRI GENTICS,,SHOP 32 TATMIL KANPUR BLOCK KALYANPUR,For Free Alerts
90,Seed Dealers,Kanpur City,Kalyanpur,SAI AGRI BUSINESS,,DHANKUTTI KANPUR BLOCK KALYANPUR,For Free Alerts
91,Seed Dealers,Kanpur City,Kalyanpur,SAI AGRI BUSINESS,,DHANKUTTI KANPUR BLOCK KALYANPUR,For Free Alerts
92,Seed Dealers,Kanpur City,Kalyanpur,SAI RAM BEEJ BHANDAR,,GRAM DOOL KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
93,Seed Dealers,Kanpur City,Kalyanpur,SANIK AGRO AGENCY,,GRAM TIKRA KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
94,Seed Dealers,Kanpur City,Kalyanpur,SANIK AGRO AGENCY,,GRAM TIKRA KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
95,Seed Dealers,Kanpur City,Kalyanpur,SANIK TRADERS,,75/232 SABJI MANDI KANPUR BLOCK KALYANPUR,For Free Alerts
96,Seed Dealers,Kanpur City,Kalyanpur,SEEMA SEEDS AND BIOTECH,,AZAD NAGAR KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
97,Seed Dealers,Kanpur City,Kalyanpur,SEEMA SEEDS AND BIOTECH,,37 A(1) NEW AZAD NAGER KALYANPUR,For Free Alerts
98,Seed Dealers,Kanpur City,Kalyanpur,SHANKAR AGRO AGENCY,,DHAN KUTTI KANPUR BLOCK KALYAN PUR,For Free Alerts
99,Seed Dealers,Kanpur City,Kalyanpur,SHIV BHOLA BEEJ BHANDAR,,TAUDHAKPUR ROAD GALLA MANDI NAUBSTA.BLOCK KALAYANPUR,For Free Alerts
100,Seed Dealers,Kanpur City,Kalyanpur,SHRADHHA AGRO AGENCY,,81/57 DHANN KUTTI KANPUR NAGAR BLOCK KALYANPUR,For Free Alerts
101,Seed Dealers,Kanpur City,Kalyanpur,SHRI KRISHNA ENTERPRISES,,SABJI MANDI KANPUR BLOCK KALYANPUR,For Free Alerts
