Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
50,Seed Dealers,Lucknow,Chinhat,Ms Sonam Seeds Tecnology Pvt Ltd,,B 64 Himcity Part A Ganeshpur Rahmanpur Devaroad,For Free Alerts
51,Seed Dealers,Lucknow,Chinhat,Ms. BHARAT BEEJ BHANDAR,,RAMDINPURVA,For Free Alerts
52,Seed Dealers,Lucknow,Chinhat,Ms. DEVI BEEJ COMPANY,,"62, TRIPTINAGAR, GANESHPUR",For Free Alerts
53,Seed Dealers,Lucknow,Chinhat,Ms. NEW PUNJAB BEEJ BHANDAR,,AMRAIGAWN,For Free Alerts
54,Seed Dealers,Lucknow,Chinhat,Ms. PRAKASH BEEJ BHANDAR,,SAIRPUR,For Free Alerts
55,Seed Dealers,Lucknow,Chinhat,Ms. SAMIKSHA KRISHI SEVA ENTERPRISES,,CHINHAT,For Free Alerts
56,Seed Dealers,Lucknow,Chinhat,Ms. SIDH SHAKTIMAAN KRISHI SEVA KENDRA,,MALHAUR,For Free Alerts
57,Seed Dealers,Lucknow,Chinhat,Ms. TARAI BEEJ COMPANY,,CHINHAT,For Free Alerts
58,Seed Dealers,Lucknow,Chinhat,Ms. UTKARSH BEEJ BHANDAR,,AMRAIGAWN,For Free Alerts
59,Seed Dealers,Lucknow,Chinhat,Ms.JAISWAL FERTILIZERS,,BEHATA BAZAR,For Free Alerts
60,Seed Dealers,Lucknow,Chinhat,NEW UNNAT SEED AND PESTISIDE,,ALI NABAB MARKET HARDOI ROAD DUBAGGA,For Free Alerts
61,Seed Dealers,Lucknow,Chinhat,PUNJAB BEEJ BHANDAR,,ALAMBAGH SABJI MANDI,For Free Alerts
62,Seed Dealers,Lucknow,Chinhat,U P AGRO IND CORPO,,TIKAITRAI TALAB,For Free Alerts
63,Seed Dealers,Lucknow,Chinhat,VATIKA,,C-986/B MAHANAGAR,For Free Alerts
